Month,Average_AQI
2015-01,244.0896551724138
2015-02,277.5740740740741
2015-03,295.67096774193544
2015-04,220.32666666666668
2015-05,255.01000000000002
2015-06,248.00333333333336
2015-07,263.2766666666667
2015-08,230.17931034482757
2015-09,220.32413793103447
2015-10,261.81666666666666
2015-11,274.49655172413793
2015-12,240.44838709677418
2016-01,278.82758620689657
2016-02,241.20000000000002
2016-03,251.22413793103448
2016-04,282.58846153846156
2016-05,270.59655172413795
2016-06,188.38275862068966
2016-07,229.14
2016-08,299.4413793103448
2016-09,248.21034482758623
2016-10,279.68928571428575
2016-11,267.5074074074074
2016-12,241.71612903225807
2017-01,269.96666666666664
2017-02,247.55925925925928
2017-03,268.6290322580645
2017-04,277.3666666666667
2017-05,299.0933333333333
2017-06,225.61
2017-07,209.3153846153846
2017-08,220.3483870967742
2017-09,288.4566666666667
2017-10,204.27142857142857
2017-11,275.72962962962964
2017-12,287.48387096774195
2018-01,236.47142857142856
2018-02,278.5230769230769
2018-03,270.27000000000004
2018-04,245.32068965517243
2018-05,246.78064516129032
2018-06,291.8344827586207
2018-07,272.51724137931035
2018-08,236.44642857142858
2018-09,220.94666666666666
2018-10,261.09333333333336
2018-11,204.10689655172416
2018-12,273.09666666666664
2019-01,269.2966666666667
2019-02,267.68928571428575
2019-03,279.95
2019-04,309.3758620689655
2019-05,282.3551724137931
2019-06,237.06071428571428
2019-07,263.1516129032258
2019-08,275.6774193548387
2019-09,279.81724137931036
2019-10,319.50967741935483
2019-11,240.48999999999998
2019-12,241.79
2020-01,243.34516129032258
2020-02,259.3724137931035
2020-03,288.61071428571427
2020-04,233.65185185185186
2020-05,237.39333333333335
2020-06,238.45384615384617
2020-07,235.33548387096772
2020-08,260.0566666666667
2020-09,251.85714285714286
2020-10,275.42903225806447
2020-11,282.4896551724138
2020-12,254.39032258064518
2021-01,274.36129032258066
2021-02,245.46296296296296
2021-03,229.03548387096777
2021-04,245.98666666666668
2021-05,257.22758620689655
2021-06,249.95925925925926
2021-07,292.96206896551723
2021-08,257.9483870967742
2021-09,238.91724137931035
2021-10,274.96
2021-11,257.52222222222224
2021-12,318.2161290322581
2022-01,244.90666666666667
2022-02,296.7
2022-03,284.4892857142857
2022-04,213.125
2022-05,238.7866666666667
2022-06,274.824
2022-07,240.10967741935482
2022-08,253.03793103448277
2022-09,280.28
2022-10,288.19354838709677
2022-11,263.6172413793103
2022-12,245.93793103448274
2023-01,267.1448275862069
2023-02,277.43571428571425
2023-03,281.2967741935484
2023-04,302.65000000000003
2023-05,254.51333333333332
2023-06,236.12666666666667
2023-07,257.64838709677423
2023-08,230.94
2023-09,212.80689655172412
2023-10,291.13
2023-11,280.62666666666667
2023-12,263.4
2024-01,250.00967741935486
2024-02,288.42758620689654
2024-03,298.0566666666667
2024-04,249.34
2024-05,210.53571428571428
2024-06,295.2103448275862
2024-07,288.96
2024-08,276.23333333333335
2024-09,306.1793103448276
2024-10,242.73225806451612
2024-11,253.20357142857142
2024-12,257.1965517241379
