Month,Average_AQI
2015-01,229.01612903225808
2015-02,268.175
2015-03,295.67096774193544
2015-04,220.32666666666668
2015-05,247.31290322580645
2015-06,248.00333333333336
2015-07,255.09032258064516
2015-08,215.55806451612904
2015-09,212.98333333333332
2015-10,253.90967741935484
2015-11,265.93666666666667
2015-12,240.44838709677418
2016-01,261.4548387096774
2016-02,241.20000000000002
2016-03,235.71290322580646
2016-04,246.38333333333333
2016-05,253.3967741935484
2016-06,182.3
2016-07,222.15806451612903
2016-08,280.61290322580646
2016-09,240.04
2016-10,254.03225806451613
2016-11,241.47666666666666
2016-12,241.71612903225807
2017-01,261.5516129032258
2017-02,239.2357142857143
2017-03,268.6290322580645
2017-04,277.3666666666667
2017-05,289.46451612903223
2017-06,225.61
2017-07,177.0193548387097
2017-08,220.3483870967742
2017-09,288.4566666666667
2017-10,185.32580645161292
2017-11,248.45666666666665
2017-12,287.48387096774195
2018-01,214.8290322580645
2018-02,259.30357142857144
2018-03,261.89032258064515
2018-04,237.28333333333333
2018-05,246.78064516129032
2018-06,282.77000000000004
2018-07,255.24516129032256
2018-08,214.3
2018-09,220.94666666666666
2018-10,253.13548387096773
2018-11,197.92333333333332
2018-12,264.56451612903226
2019-01,260.90000000000003
2019-02,267.68928571428575
2019-03,271.55806451612904
2019-04,299.6066666666667
2019-05,264.51612903225805
2019-06,222.28333333333333
2019-07,263.1516129032258
2019-08,275.6774193548387
2019-09,270.6333333333333
2019-10,319.50967741935483
2019-11,240.48999999999998
2019-12,234.2935483870968
2020-01,243.34516129032258
2020-02,259.3724137931035
2020-03,261.3032258064516
2020-04,211.42333333333332
2020-05,229.99677419354836
2020-06,207.97333333333333
2020-07,235.33548387096772
2020-08,251.86774193548385
2020-09,235.47666666666666
2020-10,275.42903225806447
2020-11,273.2
2020-12,254.39032258064518
2021-01,274.36129032258066
2021-02,237.29999999999998
2021-03,229.03548387096777
2021-04,245.98666666666668
2021-05,240.96129032258065
2021-06,226.48666666666668
2021-07,274.64516129032256
2021-08,257.9483870967742
2021-09,231.17333333333332
2021-10,266.2548387096774
2021-11,233.30666666666667
2021-12,318.2161290322581
2022-01,237.05161290322582
2022-02,286.38214285714287
2022-03,257.81290322580645
2022-04,199.80333333333334
2022-05,231.70322580645163
2022-06,230.52333333333334
2022-07,240.10967741935482
2022-08,237.1709677419355
2022-09,280.28
2022-10,288.19354838709677
2022-11,255.34666666666666
2022-12,231.16451612903228
2023-01,250.34193548387097
2023-02,277.43571428571425
2023-03,281.2967741935484
2023-04,283.1066666666667
2023-05,246.94193548387096
2023-06,236.12666666666667
2023-07,257.64838709677423
2023-08,223.89999999999998
2023-09,206.06
2023-10,281.7645161290323
2023-11,280.62666666666667
2023-12,263.4
2024-01,250.00967741935486
2024-02,288.42758620689654
2024-03,288.71935483870965
2024-04,249.34
2024-05,190.61612903225807
2024-06,286.0066666666667
2024-07,280.0451612903226
2024-08,267.59354838709675
2024-09,296.2
2024-10,242.73225806451612
2024-11,237.57333333333332
2024-12,241.02903225806455
