Month,Average_AQI
2015-01,249.0225806451613
2015-02,236.50357142857143
2015-03,246.6290322580645
2015-04,246.72
2015-05,249.0774193548387
2015-06,244.40666666666667
2015-07,202.29032258064515
2015-08,271.4032258064516
2015-09,229.71
2015-10,196.44516129032257
2015-11,285.99666666666667
2015-12,288.2064516129032
2016-01,254.8290322580645
2016-02,229.64827586206897
2016-03,263.65483870967745
2016-04,258.0566666666667
2016-05,304.1258064516129
2016-06,298.0733333333334
2016-07,289.0290322580645
2016-08,261.65483870967745
2016-09,253.94
2016-10,242.75806451612902
2016-11,217.73999999999998
2016-12,232.66451612903228
2017-01,238.71935483870968
2017-02,156.96785714285716
2017-03,279.9548387096774
2017-04,222.06333333333333
2017-05,207.79677419354837
2017-06,303.97999999999996
2017-07,252.16129032258064
2017-08,277.61290322580646
2017-09,230.35
2017-10,217.92903225806452
2017-11,219.1533333333333
2017-12,261.55806451612904
2018-01,222.958064516129
2018-02,233.65714285714287
2018-03,254.24193548387098
2018-04,258.7033333333333
2018-05,227.6516129032258
2018-06,270.45666666666665
2018-07,206.7064516129032
2018-08,222.67741935483872
2018-09,257.5466666666667
2018-10,211.01290322580644
2018-11,264.85
2018-12,252.27096774193546
2019-01,278.5870967741936
2019-02,248.71785714285716
2019-03,261.83870967741933
2019-04,246.75666666666666
2019-05,221.3709677419355
2019-06,250.87666666666667
2019-07,224.69354838709677
2019-08,256.1290322580645
2019-09,261.7266666666667
2019-10,257.21612903225804
2019-11,267.00333333333333
2019-12,262.8838709677419
2020-01,251.2935483870968
2020-02,265.5689655172414
2020-03,248.5677419354839
2020-04,269.21666666666664
2020-05,243.71290322580646
2020-06,250.85
2020-07,231.0483870967742
2020-08,279.8935483870968
2020-09,263.91
2020-10,258.44193548387096
2020-11,304.1566666666667
2020-12,260.94193548387096
2021-01,185.65483870967742
2021-02,260.4642857142857
2021-03,281.4806451612903
2021-04,250.84666666666666
2021-05,214.49032258064514
2021-06,239.22333333333333
2021-07,282.3741935483871
2021-08,286.8032258064516
2021-09,245.3
2021-10,245.9322580645161
2021-11,251.00333333333336
2021-12,220.88709677419354
2022-01,262.8677419354839
2022-02,317.4142857142857
2022-03,301.23870967741937
2022-04,244.33333333333334
2022-05,254.8290322580645
2022-06,281.43666666666667
2022-07,226.43548387096774
2022-08,180.49354838709678
2022-09,275.19666666666666
2022-10,275.6774193548387
2022-11,253.2133333333333
2022-12,231.99354838709678
2023-01,257.5741935483871
2023-02,276.1357142857143
2023-03,234.06774193548387
2023-04,229.85333333333335
2023-05,226.8741935483871
2023-06,260.67333333333335
2023-07,224.36774193548385
2023-08,254.1516129032258
2023-09,252.19
2023-10,228.2935483870968
2023-11,286.43
2023-12,276.1225806451613
2024-01,238.18387096774194
2024-02,246.10344827586206
2024-03,209.4322580645161
2024-04,255.55333333333334
2024-05,224.98709677419356
2024-06,267.29
2024-07,255.49677419354836
2024-08,236.99032258064514
2024-09,253.99333333333334
2024-10,284.1645161290323
2024-11,232.46666666666667
2024-12,228.36129032258063
